tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
136802,27.10.a.2,Azores Grounds Non-NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136803,27.10.b,Northeast Atlantic South,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136848,27.11,[Defunct - do not use] Old code XI. Incorporated in the Eastern Central Atlantic (FAO Major Fishing Area 34),358,ICES_Area,17/01/2013,22/12/2021,TRUE
136849,27.12,North of Azores,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136850,27.12.a,Southern mid-Atlantic Ridge (Southern Reykjanes Ridge south to Charlie-Gibbs Fracture Zone,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136804,27.12.a.1,Subdivision XIIa1 - NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136805,27.12.a.2,Subdivision XIIa2 - NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136806,27.12.a.3,Subdivision XIIa3 Non-NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136807,27.12.a.4,Subdivision XIIa4 Non-NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136808,27.12.b,Western Hatton Bank,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136809,27.12.c,Central Northeast Atlantic - South,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136851,27.13,[Defunct] Old code XIII. It has been incorporated in the Eastern Central Atlantic (FAO Major Fishing Area 34),358,ICES_Area,17/01/2013,22/12/2021,TRUE
136852,27.14,East Greenland,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136810,27.14.a,Northeast Greenland,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136853,27.14.b,Southeast Greenland,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136811,27.14.b.1,Southeast Greenland - Parts of NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136812,27.14.b.2,Southeast Greenland Non-NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136824,27.2,Norwegian Sea Spitzbergen and Bear Island,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136825,27.2.a,Norwegian Sea,358,ICES_Area,17/01/2013,24/01/2022,FALSE
